id,season_code,flag_holiday,flag_working,category_weather,feature_temp,feature_feel_temp,feature_humidity,feature_wind,demand,Year,Hour,Day_of_Week,Month
79,4,0,0,3,0.36,0.3485,0.93,0.2239,112,2011,23,6,10
80,2,0,0,2,0.34,0.3333,0.81,0.1343,58,2012,3,0,4
81,2,0,1,1,0.32,0.3182,0.39,0.194,210,2011,13,5,3
82,2,0,1,2,0.72,0.6667,0.58,0.194,360,2012,21,1,6
83,2,0,1,2,0.62,0.5758,0.83,,187,2011,13,4,4
84,3,0,1,1,0.74,0.6515,0.37,0.1343,822,2011,17,4,7
85,2,0,0,1,0.64,0.6212,0.36,0.0,810,2012,17,6,6
86,1,0,1,3,0.18,0.2121,0.93,0.1045,67,2011,13,5,1
87,2,0,0,1,0.78,0.7424,0.59,0.2836,525,2011,13,0,6
88,4,0,1,2,0.5,0.4848,0.77,0.0896,250,2011,21,2,11
89,1,0,1,1,0.46,0.4545,0.36,0.2239,663,2012,17,5,1
90,1,0,1,1,0.3,0.2727,0.52,0.4179,680,2012,8,3,1
91,1,0,1,1,0.14,0.1061,0.33,0.4627,97,2011,21,2,2
92,2,0,1,2,0.58,0.5455,0.88,0.3284,620,2011,8,3,4
93,4,0,1,1,0.42,0.4242,0.82,0.1045,162,2012,23,1,12
94,2,0,1,2,0.52,0.5,1.0,0.0896,288,2011,7,1,4
95,3,0,0,1,0.74,0.6667,0.48,0.194,336,2011,21,6,7
96,2,0,1,1,0.74,0.6515,,0.2836,278,2011,13,3,6
97,4,0,0,1,0.5,0.4848,0.48,,809,2012,12,0,11
98,3,0,1,1,0.84,0.803,0.53,0.2537,274,2011,12,4,7
99,4,0,1,2,0.56,0.5303,0.78,0.0,444,2012,13,4,10
100,1,0,0,1,0.28,0.2727,,0.2239,131,2012,21,0,3
101,3,0,0,1,0.64,0.6212,0.38,0.3881,865,2012,11,6,9
102,4,0,1,1,0.54,0.5152,,0.0896,40,2012,2,5,10
103,2,0,1,1,0.64,0.6212,0.36,0.2537,448,2012,15,4,5
104,2,0,0,1,0.48,0.4697,0.59,0.0,71,2012,3,6,5
105,4,0,0,2,0.38,0.3939,0.76,0.1343,440,2012,14,0,12
106,4,0,1,1,0.52,0.5,0.83,0.194,36,2011,4,5,9
107,3,0,1,1,0.76,0.6667,0.37,0.2985,631,2011,18,5,6
108,2,0,1,2,0.62,0.5909,0.73,0.2537,254,2012,14,1,5
109,2,0,0,2,0.64,0.6212,0.61,0.1642,111,2011,2,0,6
110,1,0,1,1,0.26,0.2273,0.6,0.3582,37,2012,1,1,1
111,3,0,0,2,0.66,0.6212,0.74,0.194,84,2011,7,6,8
112,1,0,1,1,0.28,0.2727,0.45,0.2537,100,2011,11,2,3
113,3,0,0,1,0.78,0.7727,0.7,0.1343,53,2012,6,0,7
114,4,0,1,1,0.26,0.303,0.7,0.0,26,2012,3,5,11
115,3,0,0,1,0.72,0.6818,0.7,0.1642,724,2012,19,0,7
116,3,0,0,1,0.84,0.7879,0.49,0.1642,202,2011,9,6,7
117,4,0,1,2,0.36,0.3333,0.53,0.3582,257,2012,11,2,12
118,1,0,0,1,0.6,0.6061,0.6,0.1045,944,2012,13,6,3
119,4,0,1,2,0.26,0.2727,0.81,0.1045,60,2012,5,5,12
120,4,0,1,1,0.22,0.2576,,0.0896,46,2012,1,4,11
121,4,0,1,2,0.44,0.4394,0.94,,45,2012,1,2,12
122,4,0,1,1,0.52,0.5,0.68,0.2239,375,2011,20,2,10
123,1,0,1,1,0.14,0.1212,0.5,0.3582,28,2011,2,4,1
124,3,0,1,1,0.82,0.7424,0.41,0.2239,367,2012,14,2,8
125,1,0,1,1,0.16,0.1515,0.55,0.2537,32,2012,4,2,1
126,3,0,1,1,0.7,0.6515,0.61,0.1045,660,2012,20,4,8
127,2,0,1,1,0.7,0.6515,0.54,0.0,364,2012,12,3,5
128,1,0,1,1,0.36,0.3485,0.62,,269,2011,18,5,12
129,3,0,0,1,0.76,0.7273,0.66,0.0,225,2012,0,0,7
130,1,0,1,1,0.26,0.2576,0.6,0.194,333,2012,9,1,2
131,2,0,1,1,0.36,0.3485,0.76,0.194,446,2011,8,4,4
132,4,0,1,1,0.36,0.3636,0.57,0.0896,160,2012,23,3,10
133,4,0,1,1,0.3,0.303,0.52,0.1642,211,2011,21,2,12
134,3,0,1,1,0.9,0.8636,0.45,0.3284,848,2012,19,4,7
135,4,0,1,2,0.4,0.4091,0.76,0.0,38,2011,2,5,11
136,2,0,1,1,0.54,0.5152,,0.1642,230,2011,22,4,4
137,3,0,1,2,0.76,0.6818,0.45,0.2239,400,2012,15,1,7
138,1,0,0,1,0.24,0.2273,0.65,0.194,44,2011,2,6,3
139,2,0,1,2,0.34,0.3182,0.53,0.2836,266,2011,7,5,4
140,2,0,0,2,0.36,0.3636,1.0,0.0896,38,2011,7,0,4
141,3,0,1,2,0.66,0.6212,0.74,0.1642,268,2011,13,3,9
142,2,0,0,2,0.36,0.3788,0.87,0.0,294,2011,15,6,4
143,2,0,0,1,0.6,0.6212,0.49,0.1343,548,2011,13,0,5
144,2,0,1,1,0.4,0.4091,0.62,0.2537,34,2011,5,1,4
145,3,0,1,2,0.74,0.697,0.66,0.1045,556,2012,9,5,8
146,1,0,0,1,0.36,0.3636,0.21,0.0896,423,2012,18,6,3
147,4,0,0,2,0.36,0.3182,0.46,0.4627,553,2012,12,6,11
148,2,0,1,2,0.42,0.4242,0.77,,242,2012,22,3,4
149,1,0,1,2,0.3,0.3182,0.87,0.1045,174,2012,11,4,1
150,2,0,0,1,0.34,0.3333,,0.194,63,2012,6,6,4
151,1,0,1,1,0.3,0.303,0.49,0.1343,360,2012,16,5,12
152,3,1,0,3,0.66,0.5909,0.94,0.1045,260,2011,19,1,9
153,2,0,1,1,0.7,0.6667,0.79,0.0896,64,2011,0,2,5
154,2,0,1,1,0.6,0.5455,0.88,0.0,46,2012,2,4,5
155,3,0,1,1,0.76,0.6818,0.45,0.1343,1130,2012,18,4,7
156,2,0,1,1,0.54,0.5152,0.28,0.4478,231,2011,14,4,5
157,4,0,1,2,0.72,0.6667,0.58,0.3284,657,2012,16,4,9
158,2,0,0,3,0.5,0.4848,0.88,0.4627,69,2011,16,6,4
159,2,0,1,1,0.64,0.6061,0.65,0.0,308,2012,22,2,5
160,4,0,1,2,0.46,0.4545,0.88,0.0896,69,2012,0,3,10
161,4,0,1,1,0.28,0.2576,0.52,0.3284,52,2011,0,4,12
162,2,0,0,2,0.3,0.303,0.87,0.1343,52,2011,1,6,4
163,2,0,1,1,0.44,0.4394,0.33,0.0,395,2012,12,4,4
164,1,0,1,1,0.18,0.2121,0.74,0.0896,104,2011,20,4,1
165,3,0,0,1,0.54,0.5152,0.64,0.0,227,2012,0,0,9
166,3,0,0,1,0.68,0.6364,0.79,0.2537,377,2012,9,0,8
167,1,0,0,1,0.36,0.3485,0.62,0.194,38,2011,7,0,3
168,2,0,1,2,0.6,0.5455,0.88,0.1642,65,2012,5,4,5
169,4,0,1,2,0.44,0.4394,1.0,0.194,178,2011,21,2,12
170,4,0,1,1,0.3,0.3333,0.81,0.0,226,2011,20,5,12
171,3,0,0,1,0.82,0.7424,0.41,0.2239,582,2011,13,6,7
172,3,0,1,3,0.64,0.5758,0.89,0.0896,76,2011,21,3,9
173,3,0,0,1,0.82,0.7727,0.52,0.3582,557,2012,19,6,8
174,3,0,1,1,0.8,0.7424,0.52,0.3284,1189,2012,17,2,7
175,1,0,1,2,0.16,0.2273,1.0,,333,2011,8,1,2
176,2,0,1,1,0.66,0.6212,0.65,0.194,745,2011,17,1,5
177,1,0,1,1,0.32,0.3182,0.76,0.1642,146,2012,6,3,2
178,2,0,1,3,0.62,0.5758,0.83,0.2537,227,2011,22,4,6
179,3,0,1,2,0.84,0.803,0.53,0.2985,391,2012,13,2,7
180,3,0,0,1,0.58,0.5455,0.78,0.1045,150,2012,2,6,9
181,3,0,1,1,0.7,0.6667,0.74,0.0,50,2012,1,1,7
182,3,0,1,1,0.66,0.6061,0.83,0.0896,962,2012,8,1,8
183,1,0,1,2,0.28,0.3182,0.81,0.0,143,2012,6,4,1
184,4,1,0,1,0.48,0.4697,0.33,0.2239,260,2011,13,4,11
185,1,0,0,1,0.22,0.2273,0.69,0.1343,116,2011,18,6,1
186,2,0,0,2,0.54,0.5152,0.83,0.2836,150,2012,2,0,5
187,1,1,0,1,0.28,0.2576,0.45,0.3284,30,2012,4,1,1
188,3,0,1,3,0.64,0.5758,0.89,0.2985,84,2012,6,5,8
189,3,0,1,3,0.6,0.5152,0.94,0.2537,119,2012,23,1,9
190,3,0,1,1,0.74,0.6667,0.48,0.2239,714,2012,20,4,7
191,2,0,0,1,0.66,0.6212,0.61,0.4179,564,2012,19,0,5
192,4,0,1,3,0.44,0.4394,1.0,0.0,223,2011,18,2,11
193,4,0,1,1,0.38,0.3939,0.82,0.1045,211,2011,21,1,11
194,3,0,1,1,0.6,0.5606,0.83,0.1045,521,2011,7,3,9
195,2,0,0,2,0.3,0.2879,0.93,,42,2011,6,6,4
196,4,0,1,1,0.62,0.6212,0.5,0.194,300,2011,15,2,10
197,3,0,1,1,0.86,0.7424,0.3,0.0,306,2012,10,5,7
198,3,0,1,1,0.92,0.8182,0.29,0.1642,536,2012,16,2,7
199,4,0,1,2,0.76,0.6818,0.45,0.0,422,2012,15,4,9
200,2,0,0,1,0.7,0.6364,0.37,,968,2012,13,6,5
201,4,0,1,1,0.6,0.5758,,0.1343,523,2012,20,5,10
202,2,0,1,2,0.66,0.6212,0.69,0.2836,558,2012,20,4,5
203,3,0,0,2,0.66,0.5909,0.89,0.0,130,2012,22,6,9
204,2,0,1,2,0.48,0.4697,0.55,0.1343,511,2012,9,3,4
205,3,0,1,1,0.74,0.6667,0.48,0.194,529,2011,19,2,8
206,4,0,1,2,0.46,0.4545,0.67,0.0,203,2011,14,1,12
207,3,0,1,1,0.74,0.6515,0.4,0.0,469,2012,13,2,8
208,4,1,0,1,0.44,0.4394,0.35,,376,2012,12,4,11
209,3,0,1,1,0.7,0.6515,0.61,0.194,447,2012,21,3,8
210,4,0,1,2,0.34,0.3333,0.57,0.1642,135,2011,23,4,11
211,4,1,0,1,0.3,0.3182,0.45,0.0896,123,2011,23,5,11
212,4,0,1,3,0.56,0.5303,1.0,0.1642,213,2011,18,3,10
213,3,0,0,1,0.68,0.6364,0.51,0.1045,138,2011,0,6,8
214,4,0,0,1,0.62,0.5606,0.88,0.0896,164,2011,22,0,9
215,1,0,0,1,0.38,0.3939,,0.5224,54,2011,7,6,2
216,1,0,0,2,0.26,0.2576,0.41,,164,2011,10,0,2
217,4,0,1,2,0.48,0.4697,0.77,0.0896,242,2012,22,2,10
218,4,0,1,2,0.46,0.4545,0.94,0.0,549,2011,8,1,11
219,4,0,1,1,0.5,0.4848,,0.0896,694,2011,8,2,10
220,3,0,1,1,0.72,0.6818,0.62,0.2239,333,2011,21,3,8
221,2,0,1,2,0.62,0.6061,0.69,0.1642,255,2012,23,4,6
222,4,0,0,1,0.34,0.3182,0.49,,357,2012,9,6,11
223,4,0,1,1,0.56,0.5303,0.56,0.2836,680,2011,18,1,11
224,3,0,1,1,0.76,0.6667,0.37,0.0,430,2012,15,2,8
225,4,0,1,1,0.5,0.4848,0.51,0.3582,385,2012,21,3,10
226,1,0,1,2,0.36,0.3788,0.23,0.0,158,2011,12,2,3
227,2,0,0,2,0.54,0.5152,0.88,0.1642,182,2011,23,6,4
228,3,0,1,2,0.9,0.8485,0.42,0.2836,277,2012,11,5,6
229,4,0,1,1,0.5,0.4848,0.45,0.2537,430,2011,16,5,10
230,4,0,1,1,0.36,0.3788,0.62,0.0,255,2012,10,3,11
231,4,0,0,1,0.5,0.4848,0.63,0.1045,406,2011,18,0,10
232,3,0,1,1,0.9,0.7727,0.25,0.2836,238,2011,14,2,8
233,2,0,1,1,0.7,0.6364,0.45,0.1642,1137,2012,18,5,3
234,3,0,0,2,0.64,0.5909,0.78,0.0896,72,2012,6,6,7
235,3,0,1,1,0.78,0.6667,0.25,,347,2011,15,4,6
236,4,0,1,1,0.34,0.3182,0.46,,880,2012,17,1,11
237,1,0,0,1,0.16,0.1364,0.47,0.3284,104,2012,0,0,1
238,2,0,1,1,0.8,0.697,0.29,0.194,246,2011,15,1,6
239,3,0,1,1,0.7,0.6364,0.3,0.2836,702,2012,20,2,6
240,4,0,1,1,0.42,0.4242,0.71,0.0896,198,2011,10,2,11
241,1,0,0,2,0.3,0.2879,0.45,0.2537,138,2011,18,6,1
242,3,0,1,2,0.74,0.2424,0.55,0.3881,683,2012,19,5,8
243,4,0,1,2,0.32,0.303,0.53,0.2537,268,2012,13,3,11
244,4,0,1,2,0.5,0.4848,0.72,0.194,629,2011,17,2,11
245,1,0,1,2,0.48,0.4697,0.59,0.0,312,2011,15,4,12
246,3,0,1,2,0.66,0.5909,,0.0896,48,2011,1,4,8
247,3,0,1,3,0.62,0.5455,0.94,0.1045,30,2011,1,4,9
248,1,0,1,2,0.22,0.2121,0.51,0.2836,95,2011,22,4,1
249,3,0,1,2,0.72,0.6818,0.7,0.2985,242,2011,9,4,8
250,2,0,1,1,0.74,0.6515,0.28,0.0,264,2011,14,3,6
251,3,0,1,3,0.7,0.6667,0.74,,1122,2012,18,2,7
252,3,0,1,1,0.68,0.6364,0.74,0.2537,773,2012,19,4,9
253,1,0,0,1,0.26,0.2576,0.56,0.2239,29,2011,4,0,3
254,1,0,0,1,0.22,0.2121,0.75,0.2537,30,2011,6,6,3
255,4,0,1,3,0.62,0.5455,0.94,0.0896,36,2011,4,2,9
256,3,0,1,1,0.72,0.6818,0.7,0.0,41,2011,2,2,8
257,1,0,1,3,0.34,0.303,0.93,0.3582,178,2011,9,5,2
258,4,0,1,1,0.52,0.5,0.83,0.1045,599,2012,7,5,10
259,2,0,0,2,0.6,0.5909,0.73,0.2537,61,2011,7,0,6
260,1,0,0,3,0.16,0.1515,0.93,0.2537,85,2012,10,6,1
261,4,0,0,1,0.24,0.2879,0.44,0.0,285,2011,10,0,12
262,4,0,0,1,0.4,0.4091,0.43,0.2239,487,2011,13,0,10
263,4,0,1,2,0.36,0.3333,0.46,,321,2012,20,5,11
264,3,0,0,1,0.74,0.6818,0.48,0.194,569,2011,19,6,7
265,2,0,0,1,0.7,0.6515,0.58,0.0,381,2012,9,0,6
266,1,0,0,1,0.18,0.197,0.55,0.1642,71,2011,8,6,1
267,4,0,1,2,0.46,0.4545,0.88,0.0896,79,2012,5,3,10
268,1,0,0,1,0.32,0.303,0.7,0.2537,131,2011,13,0,12
269,1,0,0,1,0.14,0.1212,0.36,0.2537,65,2011,19,6,1
270,3,0,1,2,0.86,0.7576,0.34,0.194,770,2011,18,2,8
271,1,0,0,3,0.16,0.1818,0.86,0.1045,84,2012,21,0,1
272,2,0,1,1,0.56,0.5303,0.94,0.2537,138,2011,6,3,4
273,1,0,0,2,0.24,0.2424,0.75,0.1642,40,2011,3,6,2
274,4,0,1,1,0.62,0.6212,0.5,0.0896,540,2011,19,4,9
275,4,0,1,1,0.56,0.5303,0.6,0.3881,809,2011,17,2,10
276,1,0,1,2,0.3,0.3182,0.93,0.1045,29,2011,5,3,3
277,4,0,1,2,0.44,0.4394,1.0,0.0,117,2011,6,3,11
278,3,0,0,1,0.68,0.6364,0.79,0.2836,203,2012,8,0,8
279,2,0,1,1,0.34,0.3182,0.66,0.2537,144,2011,6,4,5
280,1,0,1,3,0.22,0.2273,0.93,0.1343,30,2011,2,3,2
281,3,0,0,1,0.72,0.6667,0.51,,743,2012,11,6,8
282,1,0,1,1,0.46,0.4545,0.44,0.1343,385,2012,20,4,2
283,1,0,1,1,0.18,0.2121,0.47,0.1045,93,2011,20,5,1
284,2,0,1,3,0.3,0.303,0.87,,127,2011,14,4,3
285,4,0,1,1,0.3,0.2879,0.52,0.2836,384,2012,20,3,12
286,3,0,1,1,0.66,0.6212,0.65,0.194,148,2012,0,4,7
287,3,0,1,1,0.66,0.6212,0.69,0.2537,156,2011,22,1,8
288,2,0,0,2,0.54,0.5152,0.88,0.0,80,2012,2,6,6
289,4,0,1,1,0.34,0.3636,0.49,,143,2012,22,3,11
290,4,0,0,1,0.4,0.4091,0.76,0.0,218,2011,22,6,10
291,1,0,1,1,0.26,0.2576,,0.1642,227,2011,9,2,3
292,2,0,1,1,0.46,0.4545,0.47,0.2836,403,2012,9,1,3
293,4,0,1,3,0.6,0.5455,0.88,0.1343,243,2012,14,2,10
294,2,0,1,1,0.6,0.6212,,0.2985,246,2011,20,1,4
295,2,0,1,2,0.6,0.6212,0.53,0.3881,545,2012,16,1,5
296,4,0,1,2,0.3,0.3182,0.65,0.1045,32,2012,4,5,11
297,4,0,1,1,0.42,0.4242,0.88,0.1045,99,2012,0,2,12
298,1,0,1,1,0.24,0.2424,0.65,0.1343,53,2012,0,1,2
299,1,0,1,2,0.24,0.2424,0.87,,105,2012,23,3,2
300,1,0,0,2,0.34,0.3333,0.36,0.1343,160,2011,18,0,2
301,1,0,1,1,0.12,0.1515,0.54,0.1045,592,2012,8,4,1
302,4,0,1,1,0.5,0.4848,0.48,0.0896,261,2011,12,2,11
303,4,0,1,1,0.3,0.303,0.7,0.1642,188,2012,6,5,11
304,1,0,1,1,0.34,0.2879,0.46,0.5224,26,2012,4,3,1
305,4,0,1,2,0.62,0.5758,,0.194,510,2012,9,3,10
306,1,0,0,1,0.3,0.2879,0.61,0.2836,446,2012,12,6,1
307,2,0,1,2,0.34,0.303,0.71,0.3284,33,2011,2,1,3
308,1,0,1,1,0.62,0.6212,0.5,0.1642,183,2011,22,5,3
309,1,0,1,1,0.2,0.2576,0.69,0.0,65,2012,7,1,12
310,2,0,1,1,0.36,0.3333,0.32,0.3284,203,2011,14,5,3
311,1,0,1,1,0.34,0.3333,0.66,0.1642,28,2011,3,4,3
312,1,0,0,1,0.26,0.2576,1.0,0.194,100,2011,21,6,2
313,1,0,0,1,0.36,0.3333,0.25,0.2836,440,2012,15,0,1
314,1,0,1,1,0.32,0.303,0.22,0.2239,213,2012,13,1,2
315,4,0,1,1,0.22,0.2121,0.55,0.2836,68,2012,5,4,12
316,1,0,1,2,0.32,0.3182,0.87,0.1642,371,2012,19,4,2
317,3,0,0,2,0.66,0.6061,0.83,0.1343,187,2011,0,6,7
318,4,0,0,1,0.2,0.2121,0.59,0.1343,29,2011,6,0,12
319,1,0,1,1,0.2,0.1818,0.59,0.3881,312,2011,8,2,3
320,1,0,1,1,0.04,0.0303,0.38,0.2985,29,2012,1,3,1
321,4,0,1,1,0.28,0.303,0.75,0.0896,205,2012,23,5,12
322,2,0,1,1,0.36,0.3333,0.53,0.2537,57,2011,1,5,4
323,1,0,1,1,0.52,0.5,0.08,0.2836,128,2011,23,5,2
324,2,0,1,1,0.32,0.3333,0.66,0.0896,482,2012,7,2,4
325,2,0,0,3,0.34,0.303,0.76,0.3881,207,2011,15,6,4
326,4,0,0,3,0.48,0.4697,0.67,0.4627,418,2012,16,0,10
327,1,0,0,2,0.28,0.2424,0.93,0.4478,136,2011,18,6,2
328,1,0,1,3,0.24,0.2424,0.93,0.1343,56,2012,20,1,12
329,4,0,1,2,0.26,0.2727,0.7,0.1343,77,2012,5,3,11
330,2,0,0,1,0.66,0.6212,0.65,0.1343,450,2011,11,0,4
331,3,0,1,1,0.8,0.697,0.31,0.0,207,2011,11,3,7
332,1,0,1,2,0.14,0.1667,0.63,0.1045,73,2011,6,4,1
333,3,0,1,1,0.78,0.7424,0.59,0.2239,458,2011,20,1,7
334,3,0,0,1,0.7,0.6667,0.84,0.2836,116,2011,15,0,8
335,3,0,1,2,0.56,0.5303,0.73,0.1642,58,2011,0,2,9
336,4,0,1,1,0.52,0.5,0.59,0.3284,233,2011,11,3,10
337,1,1,0,1,0.2,0.197,0.51,0.194,120,2011,17,1,1
338,4,0,0,2,0.4,0.4091,0.87,0.2239,676,2012,12,6,12
339,3,0,0,1,0.66,0.6212,0.85,0.1343,190,2011,23,6,9
340,4,0,1,1,0.36,0.3636,0.81,0.1045,647,2012,7,3,10
341,1,0,1,1,0.24,0.2121,0.35,0.2836,107,2011,13,1,1
342,3,0,0,2,0.68,0.6364,0.69,0.0,179,2012,1,6,8
343,2,0,0,3,0.5,0.4848,0.82,,77,2012,20,6,4
344,3,0,1,2,0.74,0.697,0.66,0.2239,278,2012,10,1,7
345,1,0,1,1,0.26,0.2273,0.41,0.4179,119,2012,21,5,12
346,4,0,1,2,0.34,0.3485,0.81,0.0896,564,2011,8,4,11
347,4,0,0,1,0.4,0.4091,0.69,0.1045,568,2012,10,0,11
348,1,0,0,1,0.32,0.2727,0.26,0.5821,286,2012,16,6,2
349,4,0,1,1,0.3,0.3182,0.75,0.1045,34,2011,4,5,11
350,2,0,1,1,0.42,0.4242,0.44,0.3582,156,2011,10,4,4
351,1,0,1,1,0.22,0.2273,0.64,0.1642,96,2011,22,2,1
352,2,0,1,3,0.34,0.303,0.93,0.3582,79,2011,9,3,5
353,1,0,1,1,0.2,0.1818,0.47,0.3284,84,2011,14,3,1
354,4,0,1,1,0.32,0.3182,0.7,0.1642,92,2011,0,4,12
355,2,0,0,1,0.6,0.6212,0.49,0.0,515,2011,14,0,5
356,1,0,0,1,0.24,0.197,0.41,0.4627,46,2011,1,0,2
357,2,0,1,1,0.7,0.6515,0.61,0.2537,746,2011,18,1,6
358,1,0,1,1,0.32,0.3333,,0.1045,68,2012,0,3,2
359,2,0,1,2,0.5,0.4848,0.88,0.0,180,2012,6,5,3
360,1,1,0,1,0.32,0.3182,0.45,0.194,50,2011,7,1,12
361,2,1,0,1,0.8,0.7727,,0.2985,538,2012,18,1,5
